coords,index,Value,coords,scaled_value,lat,long
"(48.1551393, 17.1165428)",65703906960,102249.472,"(48.1551393, 17.1165428)",0.14220858074077483,48.1551393,17.1165428
"(48.1552778, 17.0720581)",89032137360,571298.88,"(48.1552778, 17.0720581)",0.7975007258761493,48.1552778,17.0720581
"(48.155703, 17.072482)",91487740560,99593.048,"(48.155703, 17.072482)",0.13849738581832202,48.155703,17.072482
"(48.1558365, 17.055477)",96398946960,77289.576,"(48.1558365, 17.055477)",0.10733800311455631,48.1558365,17.055477
"(48.1560417, 17.107924)",118515914640,153660.209,"(48.1560417, 17.107924)",0.2140326819060844,48.1560417,17.107924
"(48.1561599, 17.1161138)",111132566160,107994.932,"(48.1561599, 17.1161138)",0.1502353573318445,48.1561599,17.1161138
"(48.1569253, 17.1311943)",613883280,91205.76,"(48.1569253, 17.1311943)",0.12677980585414864,48.1569253,17.1311943
"(48.157252, 17.1201002)",70615113360,103991.49,"(48.157252, 17.1201002)",0.14464229175845175,48.157252,17.1201002
"(48.1574151, 17.053104)",12891899280,160783.256,"(48.1574151, 17.053104)",0.2239840360042226,48.1574151,17.053104
"(48.1575296, 17.1182381)",90259938960,43888.264,"(48.1575296, 17.1182381)",0.060674225232086564,48.1575296,17.1182381
"(48.1589226, 17.0557233)",64476105360,102082.892,"(48.1589226, 17.0557233)",0.141975857783076,48.1589226,17.0557233
"(48.1591601, 17.0485118)",35008866960,139963.33,"(48.1591601, 17.0485118)",0.1948972623351686,48.1591601,17.0485118
"(48.159356, 17.0058973)",6752891280,137230.333,"(48.159356, 17.0058973)",0.19107909001422937,48.159356,17.0058973
"(48.160425, 17.048524)",85348732560,133677.024,"(48.160425, 17.048524)",0.18611488914919208,48.160425,17.048524
"(48.16132, 17.046361)",38692271760,225106.4,"(48.16132, 17.046361)",0.3138475989779799,48.16132,17.046361
"(48.162451, 17.050082)",107449161360,182085.9,"(48.162451, 17.050082)",0.25374519771922727,48.162451,17.050082
"(48.1624544, 17.0936336)",20258708880,570569.54,"(48.1624544, 17.0936336)",0.7964817910582356,48.1624544,17.0936336
"(48.1625148, 17.0895655)",68159510160,178986.69,"(48.1625148, 17.0895655)",0.2494154023192403,48.1625148,17.0895655
"(48.1628951, 17.0901663)",15347502480,353418.12,"(48.1628951, 17.0901663)",0.4931073119436757,48.1628951,17.0901663
"(48.165409, 17.0433581)",114832509840,129322.844,"(48.165409, 17.0433581)",0.1800318200655497,48.165409,17.0433581
"(48.1655005, 17.1234681)",60792700560,104516.412,"(48.1655005, 17.1234681)",0.14537564150272592,48.1655005,17.1234681
"(48.1657799, 17.1513664)",98854550160,78474.344,"(48.1657799, 17.1513664)",0.10899320009586823,48.1657799,17.1513664
"(48.1659277, 17.1242675)",82893129360,111978.832,"(48.1659277, 17.1242675)",0.15580112147625808,48.1659277,17.1242675
"(48.1664073, 17.0796284)",14119700880,107903.97,"(48.1664073, 17.0796284)",0.1501082775763024,48.1664073,17.0796284
"(48.1669524, 17.1264658)",73070716560,111473.73,"(48.1669524, 17.1264658)",0.15509546154481613,48.1669524,17.1264658
"(48.1683903, 17.126674)",74298518160,154087.8,"(48.1683903, 17.126674)",0.2146300539928019,48.1683903,17.126674
"(48.169122, 17.13152)",104993558160,106959.948,"(48.169122, 17.13152)",0.14878941821759922,48.169122,17.13152
"(48.1720251, 17.1267564)",75526319760,89813.044,"(48.1720251, 17.1267564)",0.124834092162502,48.1720251,17.1267564
"(48.1731581, 16.9863986)",79209724560,120751.496,"(48.1731581, 16.9863986)",0.1680570964611191,48.1731581,16.9863986
"(48.1739162, 16.9876212)",117288113040,15011.960000000001,"(48.1739162, 16.9876212)",0.02033217411976282,48.1739162,16.9876212
"(48.17397, 17.127748)",71842914960,79890.26,"(48.17397, 17.127748)",0.1109713256774093,48.17397,17.127748
"(48.1741413, 17.119302)",86576534160,153776.724,"(48.1741413, 17.119302)",0.2141954608436296,48.1741413,17.119302
"(48.1742112, 17.1269544)",76754121360,135897.072,"(48.1742112, 17.1269544)",0.18921643877575825,48.1742112,17.1269544
"(48.1758821, 16.9801821)",46059081360,140199.608,"(48.1758821, 16.9801821)",0.19522735787484427,48.1758821,16.9801821
"(48.1761949, 17.1782972)",100082351760,107225.59,"(48.1761949, 17.1782972)",0.14916053715101882,48.1761949,17.1782972
"(48.1820828, 17.2562572)",109904764560,127013.052,"(48.1820828, 17.2562572)",0.1768048923076609,48.1820828,17.2562572
"(48.2046411, 17.1462111)",281272116,458.46,"(48.2046411, 17.1462111)",0.0,48.2046411,17.1462111
"(48.2500228, 17.0453152)",69387311760,102883.60800000001,"(48.2500228, 17.0453152)",0.143094509456727,48.2500228,17.0453152
"(48.3253862, 16.9140987)",77981922960,92536.008,"(48.3253862, 16.9140987)",0.12863824773812613,48.3253862,16.9140987
"(48.46771, 19.55248)",48514684560,99306.41,"(48.46771, 19.55248)",0.138096934124548,48.46771,19.55248
